 Simulation of solvent flow around colloids
    Step      Temp      Etot      Ekin      Epot       P-x       P-y
    1000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.833E+03 0.360E+04
    2000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.494E+03 0.521E+04
    3000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.718E+03 0.668E+04
    4000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.145E+04 0.711E+04
    5000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.116E+04 0.810E+04
    6000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.104E+04 0.767E+04
    7000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.559E+03 0.911E+04
    8000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.399E+03 0.968E+04
    9000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.802E+03 0.114E+05
   10000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.139E+04 0.118E+05
   11000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.107E+04 0.129E+05
   12000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.373E+03 0.134E+05
   13000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.134E+04 0.136E+05
   14000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.892E+03 0.131E+05
   15000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.148E+04 0.122E+05
   16000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.396E+03 0.126E+05
   17000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.123E+03 0.129E+05
   18000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.268E+03 0.126E+05
   19000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.449E+03 0.130E+05
   20000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.685E+03 0.134E+05
   21000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.245E+03 0.135E+05
   22000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.144E+03 0.138E+05
   23000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.654E+03 0.137E+05
   24000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.394E+03 0.134E+05
   25000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.345E+03 0.135E+05
   26000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.163E+04 0.140E+05
   27000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.795E+02 0.131E+05
   28000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 0.162E+04 0.138E+05
   29000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.646E+03 0.136E+05
   30000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.934E+03 0.133E+05
