  0.0000000E+00 -3.378030116154869E-005  7.536166638625702E-004
   1.000000     -2.335866611407027E-005  2.000720626703232E-003
   2.000000     -3.921491128285178E-006  3.823915837926501E-003
   3.000000     -3.160511458195195E-005  5.681474039475430E-003
   4.000000     -6.377730377064884E-005  7.395829657945563E-003
   5.000000     -1.869382908424642E-005  9.110642346510284E-003
   6.000000     -6.888703232884008E-006  1.072352953005289E-002
   7.000000     -5.411785760457860E-005  1.228277018420959E-002
   8.000000     -1.114091771827839E-005  1.376919654294466E-002
   9.000000     -3.845593802420833E-005  1.504667606776021E-002
   10.00000     -3.005593734666123E-005  1.630557984725408E-002
   11.00000     -3.253331658150635E-005  1.764078142454140E-002
   12.00000     -3.438787633582571E-006  1.904299835688357E-002
   13.00000     -6.077304022836800E-005  2.023894301390708E-002
   14.00000     -2.661104355331969E-005  2.145829859298657E-002
   15.00000      1.479132896591661E-006  2.256985873127294E-002
   16.00000     -5.109362356857912E-005  2.360697290222741E-002
   17.00000     -2.528238431228202E-005  2.470657071218329E-002
   18.00000      4.102480650883055E-007  2.580421710434809E-002
   19.00000     -4.323401140341806E-005  2.688765847966424E-002
   20.00000     -5.142072330359880E-005  2.794210590886201E-002
   21.00000     -1.221653168912298E-005  2.896034110860799E-002
   22.00000     -3.069899465078027E-005  2.995811272729955E-002
   23.00000     -2.452966320026636E-005  3.087643389931156E-002
   24.00000     -3.693411611116575E-005  3.164689245049376E-002
   25.00000     -3.913973005406799E-005  3.242057546507059E-002
   26.00000     -3.542976642793424E-005  3.310521495200115E-002
   27.00000     -7.392463247490464E-006  3.380316506265572E-002
   28.00000     -1.373032453044669E-005  3.457188818771013E-002
   29.00000     -4.391104781071983E-005  3.527134464359898E-002
   30.00000     -3.584382264737183E-005  3.599947039285793E-002
   31.00000     -1.160732515551993E-005  3.673805840171562E-002
   32.00000     -5.988941968524781E-005  3.719592479888387E-002
   33.00000     -2.022615030591085E-005  3.767501597679109E-002
   34.00000     -3.935208845418772E-005  3.808501715849752E-002
   35.00000     -3.576368947984283E-006  3.845969444995698E-002
   36.00000     -2.652010968542870E-005  3.892182251776084E-002
   37.00000     -4.769038370665078E-005  3.936977762842180E-002
   38.00000     -1.229122295152418E-005  3.964955794332633E-002
   39.00000     -4.112448325667072E-005  3.994253471327545E-002
   40.00000     -1.608990197013110E-005  4.017061634078197E-002
   41.00000     -1.503490631773784E-005  4.035509279896381E-002
   42.00000     -4.953220553338125E-005  4.052969531711932E-002
   43.00000     -9.233944100800094E-006  4.082262292004409E-002
   44.00000     -5.508000105989904E-005  4.103993322990082E-002
   45.00000     -2.630160446983419E-005  4.123544903872883E-002
   46.00000     -2.865206788566623E-005  4.137484819164841E-002
   47.00000     -2.471239205028709E-005  4.136171172004253E-002
   48.00000     -2.616101026068788E-005  4.127072375721139E-002
   49.00000     -3.986135694447296E-005  4.134495476494702E-002
   50.00000     -2.771727336289057E-005  4.146408612738597E-002
