  0.0000000E+00 -1.826627269509653E-005  6.314971116078757E-004
   1.000000     -1.278074245780780E-005  1.681249114642430E-003
   2.000000      2.772576719404708E-006  3.335376838919307E-003
   3.000000     -5.540218703233927E-006  4.690309935732168E-003
   4.000000     -6.012298447976734E-006  6.226749551885085E-003
   5.000000      1.309085220167260E-005  7.737841875044499E-003
   6.000000     -1.468199563333886E-005  8.995275723813683E-003
   7.000000      1.687176535032858E-005  1.050486442969626E-002
   8.000000     -9.105848892297393E-006  1.197731875203576E-002
   9.000000     -1.228976907732871E-007  1.344056807068911E-002
   10.00000      1.679520065524965E-006  1.485464923076078E-002
   11.00000      5.315835803338236E-006  1.601366621188840E-002
   12.00000     -1.236949809565595E-005  1.692059839868222E-002
   13.00000      2.144287756812582E-006  1.787854964694300E-002
   14.00000      1.744306438735566E-005  1.868599886638586E-002
   15.00000      1.074208789620163E-006  1.954815016834635E-002
   16.00000     -1.336546058710178E-006  2.054843368654440E-002
   17.00000     -3.906876560980390E-006  2.144387503343426E-002
   18.00000      5.956962261792286E-006  2.229410281594636E-002
   19.00000      3.144306608080827E-006  2.315377254105635E-002
   20.00000      1.462894616083316E-005  2.375262989654375E-002
   21.00000      7.555318949227052E-006  2.451795882920855E-002
   22.00000     -1.497234237254410E-005  2.547540297455426E-002
   23.00000      3.293950151497386E-006  2.638291309926790E-002
   24.00000      1.805563129158430E-005  2.735648619876295E-002
   25.00000     -4.749752240613230E-006  2.788028572605205E-002
   26.00000      2.372262187118417E-005  2.861457069081491E-002
   27.00000     -8.301698396192916E-007  2.952096683510162E-002
   28.00000      1.165899129453674E-005  3.038037524521531E-002
   29.00000      8.733270350834516E-006  3.128564236835958E-002
   30.00000     -5.420364043363453E-006  3.240824837828494E-002
   31.00000      2.569233826580952E-006  3.306898208643925E-002
   32.00000      1.111534582813360E-005  3.376881147382004E-002
   33.00000     -6.230847275528508E-006  3.450254587239906E-002
   34.00000      1.649462311540610E-007  3.510373109471536E-002
   35.00000     -7.973346856138702E-006  3.537292367087653E-002
   36.00000     -3.388734583425168E-007  3.567446440879300E-002
   37.00000      2.320714686631602E-005  3.608104432028702E-002
   38.00000     -1.385727108079834E-008  3.684969692395552E-002
   39.00000     -2.241828702356534E-005  3.741172748135570E-002
   40.00000      1.544481776087634E-005  3.752731757774481E-002
   41.00000      1.040033194030347E-005  3.773678649821807E-002
   42.00000      1.993172450055302E-005  3.822651093297407E-002
   43.00000     -2.861643659199696E-006  3.837287536717116E-002
   44.00000      1.918402281535756E-005  3.823612418856402E-002
   45.00000     -9.802169034233949E-006  3.836279727933953E-002
   46.00000     -6.459333072108319E-006  3.849589377160091E-002
   47.00000      2.773387213109523E-005  3.843179600560271E-002
   48.00000     -1.530973988951830E-005  3.861217716806836E-002
   49.00000      1.071213627579907E-005  3.853999847560982E-002
   50.00000      2.768061354743813E-005  3.839220743539137E-002
   51.00000     -1.324661632711779E-005  3.823197912061748E-002
   52.00000      8.859648569534552E-006  3.803396262797450E-002
   53.00000     -5.800758649205026E-006  3.779095784949871E-002
   54.00000      5.073944324939755E-006  3.762601984089822E-002
   55.00000      8.713102145551899E-006  3.754106496960384E-002
   56.00000     -1.245529086252162E-005  3.773371610776468E-002
   57.00000      1.984742256787032E-006  3.771351155501462E-002
   58.00000      7.102834844970927E-006  3.760437505813117E-002
   59.00000     -1.452158263723910E-005  3.761065591473611E-002
   60.00000      1.420923985482378E-005  3.714480920306115E-002
   61.00000      8.618366998518543E-006  3.652254366120308E-002
   62.00000      5.203705572598581E-006  3.600074205008640E-002
   63.00000     -1.256041989896765E-005  3.563327566626937E-002
   64.00000      4.399697901385400E-007  3.541903243275878E-002
   65.00000      1.345541238696307E-005  3.504131068325369E-002
   66.00000     -5.213858552756654E-006  3.445601026095126E-002
