 Simulation of solvent flow around colloids
    Step      Temp      Etot      Ekin      Epot       P-x       P-y
    1000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.956E+02 0.145E+04
    2000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.362E+03 0.269E+04
    3000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.297E+02 0.341E+04
    4000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.413E+03 0.434E+04
    5000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.373E+03 0.413E+04
    6000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.516E+03 0.456E+04
    7000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.269E+03 0.557E+04
    8000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.779E+03 0.580E+04
    9000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.720E+03 0.650E+04
   10000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.556E+03 0.725E+04
   11000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.126E+03 0.705E+04
   12000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.169E+03 0.774E+04
   13000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.242E+02 0.873E+04
   14000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.206E+02 0.861E+04
   15000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.114E+04 0.965E+04
   16000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.110E+03 0.923E+04
   17000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.452E+03 0.101E+05
   18000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.649E+03 0.984E+04
   19000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.464E+03 0.111E+05
   20000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.122E+04 0.105E+05
   21000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.554E+03 0.102E+05
   22000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.580E+03 0.107E+05
   23000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.903E+03 0.109E+05
   24000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.433E+03 0.105E+05
   25000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 0.682E+03 0.102E+05
   26000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.258E+03 0.104E+05
   27000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.368E+03 0.102E+05
   28000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 -.553E+03 0.110E+05
   29000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.599E+03 0.115E+05
   30000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.575E+03 0.111E+05
   31000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.334E+03 0.112E+05
   32000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.471E+03 0.109E+05
   33000 0.998E+00 0.449E+06 0.449E+06 0.000E+00 -.310E+03 0.110E+05
   34000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.365E+03 0.115E+05
   35000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.904E+03 0.113E+05
   36000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.823E+03 0.115E+05
   37000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.804E+03 0.116E+05
   38000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.506E+03 0.117E+05
   39000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.170E+03 0.116E+05
   40000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 -.109E+04 0.122E+05
   41000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.101E+03 0.120E+05
   42000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.635E+03 0.109E+05
   43000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.629E+02 0.112E+05
   44000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.652E+03 0.113E+05
   45000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.204E+03 0.112E+05
   46000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.103E+04 0.119E+05
   47000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.865E+02 0.116E+05
   48000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.714E+03 0.112E+05
   49000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.328E+03 0.116E+05
   50000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.483E+03 0.105E+05
   51000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.348E+03 0.108E+05
   52000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.648E+03 0.113E+05
   53000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.369E+03 0.117E+05
   54000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.853E+03 0.115E+05
   55000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.658E+03 0.109E+05
   56000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.334E+03 0.113E+05
   57000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.809E+03 0.118E+05
   58000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.416E+03 0.115E+05
   59000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.212E+04 0.116E+05
   60000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.401E+03 0.113E+05
   61000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.131E+04 0.111E+05
   62000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.226E+03 0.117E+05
   63000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.145E+04 0.122E+05
   64000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.192E+04 0.123E+05
   65000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.466E+03 0.122E+05
   66000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.131E+04 0.123E+05
   67000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.703E+03 0.128E+05
   68000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.128E+04 0.131E+05
   69000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.796E+03 0.131E+05
   70000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.553E+03 0.117E+05
   71000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.736E+03 0.124E+05
   72000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.341E+03 0.130E+05
   73000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.828E+03 0.133E+05
   74000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.304E+03 0.130E+05
   75000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.856E+03 0.130E+05
   76000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.636E+03 0.133E+05
   77000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.377E+03 0.132E+05
   78000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.359E+03 0.133E+05
   79000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.178E+03 0.136E+05
   80000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.486E+03 0.142E+05
   81000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.195E+03 0.134E+05
   82000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.680E+03 0.132E+05
   83000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.270E+03 0.132E+05
   84000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.402E+02 0.135E+05
   85000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.671E+03 0.128E+05
   86000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.199E+03 0.138E+05
   87000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.160E+04 0.140E+05
   88000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.276E+03 0.134E+05
   89000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 -.708E+03 0.132E+05
   90000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.128E+03 0.135E+05
   91000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.364E+03 0.133E+05
   92000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.321E+03 0.128E+05
   93000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.657E+03 0.130E+05
   94000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.136E+04 0.132E+05
   95000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.143E+04 0.125E+05
   96000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.251E+03 0.132E+05
   97000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.113E+04 0.127E+05
   98000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.231E+03 0.126E+05
   99000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.259E+03 0.133E+05
  100000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 0.888E+01 0.130E+05
  101000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.484E+03 0.124E+05
  102000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.563E+03 0.120E+05
  103000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.103E+04 0.126E+05
  104000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.563E+03 0.129E+05
  105000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.851E+03 0.125E+05
  106000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.103E+04 0.132E+05
  107000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.324E+03 0.132E+05
  108000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.143E+04 0.130E+05
  109000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.544E+03 0.137E+05
  110000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 -.982E+03 0.127E+05
  111000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.651E+03 0.125E+05
  112000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.214E+04 0.129E+05
  113000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.102E+03 0.131E+05
  114000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 0.176E+03 0.127E+05
  115000 0.999E+00 0.449E+06 0.449E+06 0.000E+00 0.393E+02 0.135E+05
  116000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.114E+04 0.139E+05
  117000 0.999E+00 0.450E+06 0.450E+06 0.000E+00 0.468E+03 0.136E+05
  118000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.251E+03 0.134E+05
  119000 0.100E+01 0.450E+06 0.450E+06 0.000E+00 -.520E+03 0.136E+05
  120000 0.100E+01 0.449E+06 0.449E+06 0.000E+00 0.452E+03 0.129E+05
