  0.0000000E+00 -2.860332266922164E-005  8.991846177076887E-004
   70.00000      2.428686621019194E-005  2.959997445500427E-002
   71.00000     -5.656704465112514E-006  2.881056421423072E-002
   72.00000      7.287036962393544E-006  2.830589223021431E-002
   73.00000     -2.736740945187606E-005  2.773665272453639E-002
   74.00000      1.092256583977813E-005  2.709607722616258E-002
   75.00000      1.030758616081534E-005  2.635730307365830E-002
   76.00000     -2.456053654807649E-005  2.561681717368650E-002
   77.00000      6.200019992386223E-006  2.501034449364126E-002
   78.00000     -1.757681161301247E-005  2.419527279344337E-002
   79.00000      1.983077366809136E-005  2.332847249884556E-002
   80.00000     -1.376374377363773E-005  2.231462826047511E-002
   81.00000     -9.701776276863925E-006  2.153141406363030E-002
   82.00000      5.969777342085671E-006  2.067005381659753E-002
   83.00000     -9.663867192956193E-006  1.978467067670270E-002
   84.00000     -1.422172054918154E-006  1.872374506331891E-002
   85.00000     -1.901190492847385E-006  1.801712694613817E-002
   86.00000      2.320593320418644E-006  1.717532926430689E-002
   87.00000     -1.828281526486242E-006  1.615008785447367E-002
   88.00000      2.799102918044954E-006  1.496319731663005E-002
   89.00000     -1.656423578149696E-005  1.387876082485870E-002
   90.00000     -1.248776754722580E-005  1.275411577637835E-002
   91.00000      7.459528449051780E-006  1.172018195512111E-002
   92.00000      6.983396813702443E-006  1.046727785093310E-002
   93.00000      1.537277102663599E-005  9.251227445484783E-003
   94.00000     -2.643797031855187E-005  7.960616202890292E-003
   95.00000      3.647495306061590E-006  6.783813439785438E-003
   96.00000     -1.002092836563109E-005  5.651022368271816E-003
   97.00000      1.371642728718887E-006  4.518551766951978E-003
   98.00000      9.267414065907310E-007  3.168452377879538E-003
   99.00000      1.492151541269329E-005  1.860049313887838E-003
   100.0000     -9.771149951006488E-005  9.263692459473726E-004
