 Simulation of solvent flow around colloids
    Step      Temp      Etot      Ekin      Epot       P-x       P-y
   69000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.258E+03 0.141E+05
   70000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.511E+02 0.140E+05
   71000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.209E+03 0.140E+05
   72000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.442E+03 0.139E+05
   73000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.605E+03 0.140E+05
   74000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.259E+03 0.141E+05
   75000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.286E+02 0.138E+05
   76000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.274E+03 0.141E+05
   77000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.368E+03 0.139E+05
   78000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.621E+02 0.140E+05
   79000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.557E+02 0.136E+05
   80000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.149E+03 0.139E+05
   81000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.133E+03 0.142E+05
   82000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.386E+03 0.141E+05
   83000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.883E+02 0.145E+05
   84000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.266E+03 0.136E+05
   85000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.358E+03 0.141E+05
   86000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.301E+03 0.142E+05
   87000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.263E+03 0.141E+05
   88000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.480E+03 0.145E+05
   89000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.806E+02 0.137E+05
   90000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.165E+03 0.140E+05
   91000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.297E+03 0.140E+05
   92000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.211E+03 0.139E+05
   93000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.200E+03 0.138E+05
   94000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.349E+03 0.143E+05
   95000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.187E+03 0.144E+05
   96000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.833E+03 0.146E+05
   97000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.556E+03 0.143E+05
   98000 0.997E+00 0.112E+06 0.112E+06 0.000E+00 0.898E+02 0.145E+05
   99000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.575E+03 0.142E+05
  100000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.646E+03 0.145E+05
  101000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.399E+03 0.139E+05
  102000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.239E+03 0.138E+05
  103000 0.997E+00 0.112E+06 0.112E+06 0.000E+00 0.223E+03 0.138E+05
  104000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.472E+03 0.141E+05
  105000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.215E+03 0.142E+05
  106000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.312E+03 0.140E+05
  107000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.390E+03 0.139E+05
  108000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.267E+03 0.141E+05
  109000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.356E+03 0.143E+05
  110000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.313E+03 0.138E+05
  111000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.895E+02 0.135E+05
  112000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.551E+02 0.141E+05
  113000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.367E+03 0.144E+05
